CODIGO_ESCOLA|LAT|LON
35004193|-22.4057559|-47.568853
35021556|-22.400205|-47.5576289
35021568|-22.3954613|-47.5686265
35021573|-22.4134446|-47.5632894
35021581|-22.3804435|-47.5742118
35021593|-22.3891827|-47.5578402
35021600|-22.4206555|-47.5656481
35021611|-22.4164322|-47.5632159
35021623|-22.2793245|-47.5489477
35021660|-22.4189569|-47.5563856
35021696|-22.411473|-47.5563987
35021702|-22.3931229|-47.5615187
35021726|-22.4192902|-47.5742605
35021738|-22.408024|-47.5762846
35021748|-22.3948303|-47.5674163
35021787|-22.3975299|-47.5731369
35021817|-22.4124843|-47.5644329
35036316|-22.3893807|-47.5821197
35041661|-22.3788659|-47.5783332
35045895|-22.3788102|-47.5516099
35045901|-22.3789545|-47.5689125
35049967|-22.4263515|-47.5826206
35061396|-22.391489|-47.5609941
35061402|-22.4111917|-47.5559874
35061414|-22.3789545|-47.5689125
35061426|-22.414269|-47.5699892
35063502|-22.3726715|-47.5433106
35067398|-22.4301103|-47.5857305
35074871|-22.4337898|-47.5839992
35078694|-22.2788092|-47.5438665
35083203|-22.384476|-47.5533915
35083215|-22.3955794|-47.5767072
35083914|-22.3780681|-47.5534459
35083926|-22.4266733|-47.5698978
35086356|-22.3975052|-47.5526904
35093524|-22.3887847|-47.5896579
35093531|-22.4182859|-47.553408
35098966|-22.2946052|-47.5448803
35114029|-22.3781468|-47.5621425
35114030|-22.4121783|-47.5659708
35114042|-22.4081856|-47.5662799
35114066|-22.414273|-47.5779729
35114078|-22.404035|-47.5667729
35121903|-22.4174259|-47.5510309
35125027|-22.4071529|-47.5617631
35126251|-22.4009243|-47.5544814
35136116|-22.3985234|-47.5676035
35141604|-22.4098245|-47.5799535
35145524|-22.4144401|-47.5732707
35147597|-22.3905176|-47.5699917
35149111|-22.4104201|-47.5678313
35158136|-22.3781468|-47.5621429
35159013|-22.4098245|-47.5799535
35159025|-22.4227089|-47.5590631
35159037|-22.4262566|-47.5611913
35191437|-22.3771948|-47.5845229
35196861|-22.405207|-47.5678239
35204973|-22.3814674|-47.5920804
35204985|-22.4337898|-47.5839992
35204997|-22.381177|-47.5799954
35236330|-22.3922849|-47.5892294
35236342|-22.381036|-47.5795943
35236354|-22.3887287|-47.5790041
35236366|-22.386359|-47.5667989
35236378|-22.3775287|-47.546203
35236385|-22.3813099|-47.5921052
35236391|-22.4302892|-47.5866958
35236408|-22.3905188|-47.5561892
35236412|-22.3989104|-47.574727
35236421|-22.4129932|-47.574672
35246037|-22.4062135|-47.6049308
35246049|-22.391865|-47.5884443
35260605|-22.4073548|-47.566072
35261154|-22.3781468|-47.5621420
35263072|-22.4004584|-47.5627375
35263084|-22.4123381|-47.5604495
35267284|-22.3803553|-47.573643
35267296|-22.4206555|-47.5656481
35267302|-22.3891827|-47.5589345
35267314|-22.3893807|-47.5821197
35267326|-22.4192396|-47.5560852
35267338|-22.395394|-47.5687989
35267348|-22.3801209|-47.5465161
35267351|-22.3902912|-47.6195582
35267363|-22.2595668|-47.5876875
35269207|-22.4295589|-47.6042029
35282182|-22.4493831|-47.5801944
35283812|-22.3899161|-47.5737633
35285959|-22.4976133|-47.5859834
35285961|-22.3853841|-47.5542414
35285973|-22.381293|-47.5801471
35285985|-22.4000411|-47.5914679
35286722|-22.4488024|-47.5804031
35287489|-22.4244087|-47.5736914
35296351|-22.384736|-47.6557452
35296363|-22.4344099|-47.5824503
35299662|-22.4064284|-47.604742
35302200|-22.382309|-47.5599313
35302211|-22.4007601|-47.5680629
35302223|-22.4014151|-47.5626425
35302235|-22.4081918|-47.5736834
35307609|-22.3947301|-47.5616201
35355148|-22.2620341|-47.5884437
35366924|-22.3999953|-47.5627683
35366936|-22.3923894|-47.560602
35367011|-22.3942134|-47.569804
35367084|-22.4130851|-47.5634214
35411206|-22.415046|-47.5602553
35411255|-22.4184342|-47.5611249
35429144|-22.3840785|-47.5592453
35435485|-22.4480807|-47.5826335
35442057|-22.4484701|-47.5804827
35453638|-22.4025183|-47.5627525
35453675|-22.4214544|-47.5674449
35454624|-22.3985281|-47.5661237
35456184|-22.4185803|-47.5544818
35459719|-22.4163727|-47.5634626
35462913|-22.4056108|-47.5683736
35464284|-22.4246994|-47.5709341
35530955|-22.3772077|-47.5795597
35560686|-22.4117992|-47.5691771
35562497|-22.3925519|-47.5683953
35563857|-22.4098787|-47.5667996
35583844|-22.4046545|-47.6044794
35811661|-22.4196673|-47.5582185
35900448|-22.3801209|-47.5465161
35905586|-22.3802946|-47.594362
35905598|-22.3914799|-47.5889536
35909567|-22.3966053|-47.5525987
35911148|-22.5002011|-47.5911111
35917916|-22.3853111|-47.5666681
35921944|-22.4360032|-47.5827325
